predictions
predictions,,,,,
name,address,category,P_closed,google_url,actually_closed
Vada Pav,856 W El Camino Real,indian_restaurant,0.996,https://www.google.com/search?q=Vada+Pav+856+W+El+Camino+Real+Mountain+View,1
Beyond Threads,275 Castro St,boutique,0.995,https://www.google.com/search?q=Beyond+Threads+275+Castro+St+Mountain+View,1
Terra Patio & Garden,1064 W El Camino Real,furniture_store,0.929,https://www.google.com/search?q=Terra+Patio+%26+Garden+1064+W+El+Camino+Real+Mountain+View,0
191 Restaurant & Bar,191 Castro St,american_restaurant,0.852,https://www.google.com/search?q=191+Restaurant+%26+Bar+191+Castro+St+Mountain+View,1
Taco Bell,950 W El Camino Real,fast_food_restaurant,0.816,https://www.google.com/search?q=Taco+Bell+950+W+El+Camino+Real+Mountain+View,1
Sono Sushi,357 Castro St,sushi_restaurant,0.811,https://www.google.com/search?q=Sono+Sushi+357+Castro+St+Mountain+View,1
"Ronnie Falcao, LM, MS, CPM",286 Vincent Dr,doctor,0.779,https://www.google.com/search?q=Ronnie+Falcao%2C+LM%2C+MS%2C+CPM+286+Vincent+Dr+Mountain+View,1
Bangkok Spoon,700 Villa St,thai_restaurant,0.754,https://www.google.com/search?q=Bangkok+Spoon+700+Villa+St+Mountain+View,1
Tirupathi Bhimas,856 W El Camino Real,indian_restaurant,0.754,https://www.google.com/search?q=Tirupathi+Bhimas+856+W+El+Camino+Real+Mountain+View,1
Godavari,216 Castro St,indian_restaurant,0.754,https://www.google.com/search?q=Godavari+216+Castro+St+Mountain+View,1
Shezan,216 Castro St,indian_restaurant,0.754,https://www.google.com/search?q=Shezan+216+Castro+St+Mountain+View,1
Gyros House,212 Castro St,mediterranean_restaurant,0.746,https://www.google.com/search?q=Gyros+House+212+Castro+St+Mountain+View,1
Zucca,186 Castro St,mediterranean_restaurant,0.746,https://www.google.com/search?q=Zucca+186+Castro+St+Mountain+View,1
Tsunami Sushi,209 Castro St,sushi_restaurant,0.528,https://www.google.com/search?q=Tsunami+Sushi+209+Castro+St+Mountain+View,1
Cafe Baklava,341 Castro St,mediterranean_restaurant,0.485,https://www.google.com/search?q=Cafe+Baklava+341+Castro+St+Mountain+View,0
The Cantankerous Fish,420 Castro St,seafood_restaurant,0.47,https://www.google.com/search?q=The+Cantankerous+Fish+420+Castro+St+Mountain+View,1
E&W Natural Way Health Food Center,762 W Dana St,pharmacy,0.387,https://www.google.com/search?q=E%26W+Natural+Way+Health+Food+Center+762+W+Dana+St+Mountain+View,0
Hunan Chili,102 Castro St,chinese_restaurant,0.362,https://www.google.com/search?q=Hunan+Chili+102+Castro+St+Mountain+View,1
Tied House Brewery & Cafe,954 Villa St,brewery,0.358,https://www.google.com/search?q=Tied+House+Brewery+%26+Cafe+954+Villa+St+Mountain+View,1
Bushido,156 Castro St,japanese_restaurant,0.348,https://www.google.com/search?q=Bushido+156+Castro+St+Mountain+View,1
Le Plonc,331 Castro St Ste 100,wine_bar,0.281,https://www.google.com/search?q=Le+Plonc+331+Castro+St+Ste+100+Mountain+View,1
Crepevine Restaurants,300 Castro St,breakfast_and_brunch_restaurant,0.267,https://www.google.com/search?q=Crepevine+Restaurants+300+Castro+St+Mountain+View,0
Crepevine Restaurant,300 Castro St,breakfast_and_brunch_restaurant,0.267,https://www.google.com/search?q=Crepevine+Restaurant+300+Castro+St+Mountain+View,0
Buffalo,292 Castro St,burger_restaurant,0.265,https://www.google.com/search?q=Buffalo+292+Castro+St+Mountain+View,1
Chez TJ,938 Villa St,french_restaurant,0.247,https://www.google.com/search?q=Chez+TJ+938+Villa+St+Mountain+View,0
Double Rainbow Gourmet Ice Cream & Dessert Cafe,135 Castro St,desserts,0.247,https://www.google.com/search?q=Double+Rainbow+Gourmet+Ice+Cream+%26+Dessert+Cafe+135+Castro+St+Mountain+View,1
La Fontaine Restaurant,186 Castro St,french_restaurant,0.247,https://www.google.com/search?q=La+Fontaine+Restaurant+186+Castro+St+Mountain+View,0
Mervyn's / Umai Sushi Restaurant & Lounge,236 Castro St,dive_bar,0.243,https://www.google.com/search?q=Mervyn%27s+%2F+Umai+Sushi+Restaurant+%26+Lounge+236+Castro+St+Mountain+View,1
Yoga Belly,455 Castro St,yoga_studio,0.24,https://www.google.com/search?q=Yoga+Belly+455+Castro+St+Mountain+View,1
Scott's Seafood,420 Castro St,seafood_restaurant,0.24,https://www.google.com/search?q=Scott%27s+Seafood+420+Castro+St+Mountain+View,1
Ginseng Korean BBQ + Tofu,475 Castro St,korean_restaurant,0.238,https://www.google.com/search?q=Ginseng+Korean+BBQ+%2B+Tofu+475+Castro+St+Mountain+View,1
Shabuway,180 Castro St,japanese_restaurant,0.229,https://www.google.com/search?q=Shabuway+180+Castro+St+Mountain+View,1
Wienerschnitzel,383 Castro St,burger_restaurant,0.227,https://www.google.com/search?q=Wienerschnitzel+383+Castro+St+Mountain+View,1
Maharaja Indian Cuisine,236 Castro St,indian_restaurant,0.22,https://www.google.com/search?q=Maharaja+Indian+Cuisine+236+Castro+St+Mountain+View,1
Stomach,288 Castro St,indian_restaurant,0.22,https://www.google.com/search?q=Stomach+288+Castro+St+Mountain+View,1
Bierhaus,383 Castro St,beer_garden,0.213,https://www.google.com/search?q=Bierhaus+383+Castro+St+Mountain+View,1
B'Zu Cafe,186 Castro St,mediterranean_restaurant,0.211,https://www.google.com/search?q=B%27Zu+Cafe+186+Castro+St+Mountain+View,1
la PanotiQ Bakery Cafe,331 Castro St,bakery,0.211,https://www.google.com/search?q=la+PanotiQ+Bakery+Cafe+331+Castro+St+Mountain+View,1
Paris Baguette,315 Castro St,coffee_shop,0.21,https://www.google.com/search?q=Paris+Baguette+315+Castro+St+Mountain+View,0
Rocket Fizz,298 Castro St,candy_store,0.21,https://www.google.com/search?q=Rocket+Fizz+298+Castro+St+Mountain+View,1
Tapioca Express,740 Villa St,bubble_tea,0.196,https://www.google.com/search?q=Tapioca+Express+740+Villa+St+Mountain+View,1
Morocco's Restaurant Mountain View,873 Castro St,middle_eastern_restaurant,0.174,https://www.google.com/search?q=Morocco%27s+Restaurant+Mountain+View+873+Castro+St+MOUNTAIN+VIEW,1
Yakko Sushi,975 W Dana St,sushi_restaurant,0.161,https://www.google.com/search?q=Yakko+Sushi+975+W+Dana+St+Mountain+View,1
Niji Sushi,743 W Dana St,sushi_restaurant,0.161,https://www.google.com/search?q=Niji+Sushi+743+W+Dana+St+Mountain+View,1
Kappo Nami Nami,240 Castro St,japanese_restaurant,0.161,https://www.google.com/search?q=Kappo+Nami+Nami+240+Castro+St+Mountain+View,1
Hangen Szechuan Restaurant,134 Castro St,chinese_restaurant,0.153,https://www.google.com/search?q=Hangen+Szechuan+Restaurant+134+Castro+St+Mountain+View,1
WSO2,787 Castro St,corporate_office,0.149,https://www.google.com/search?q=WSO2+787+Castro+St+Mountain+View,1
Shell Shock Restaurant,124 Castro St,seafood_restaurant,0.145,https://www.google.com/search?q=Shell+Shock+Restaurant+124+Castro+St+Mountain+View,1
Park Balluchi,288 Castro St,indian_restaurant,0.129,https://www.google.com/search?q=Park+Balluchi+288+Castro+St+Mountain+View,1
Eagle Park Pool,Eagle Park,swimming_pool,0.128,https://www.google.com/search?q=Eagle+Park+Pool+Eagle+Park+Mountain+View,0
Morgan Stanley,650 Castro St,financial_service,0.128,https://www.google.com/search?q=Morgan+Stanley+650+Castro+St+Mountain+View,0
Tina's Kusina,698 W Dana St,asian_restaurant,0.128,https://www.google.com/search?q=Tina%27s+Kusina+698+W+Dana+St+Mountain+View,1
Mahalo Bowl,650 castro St. Ste 140,food_truck,0.125,https://www.google.com/search?q=Mahalo+Bowl+650+castro+St.+Ste+140+Mountain+View,1
KiwiCo Pop-Up Shop,285 Castro St,toy_store,0.109,https://www.google.com/search?q=KiwiCo+Pop-Up+Shop+285+Castro+St+Mountain+View,1
Center Tailor & Alterations,257 Castro St,gents_tailor,0.109,https://www.google.com/search?q=Center+Tailor+%26+Alterations+257+Castro+St+Mountain+View,0
Eyebrow Station,834 W Dana St,cosmetic_and_beauty_supplies,0.108,https://www.google.com/search?q=Eyebrow+Station+834+W+Dana+St+Mountain+View,0
Jersey Mike's Subs,RELOCATING,fast_food_restaurant,0.105,https://www.google.com/search?q=Jersey+Mike%27s+Subs+RELOCATING+Mountain+View,1
Face-N-Body,854 Villa St,beauty_salon,0.102,https://www.google.com/search?q=Face-N-Body+854+Villa+St+Mountain+View,1
Kamei Japanese House,240 Castro St,japanese_restaurant,0.099,https://www.google.com/search?q=Kamei+Japanese+House+240+Castro+St+Mountain+View,1
Rumble Fish Japanese Restaurant,357 Castro St Ste 3A,japanese_restaurant,0.092,https://www.google.com/search?q=Rumble+Fish+Japanese+Restaurant+357+Castro+St+Ste+3A+Mountain+View,1
Farming With Nature,211 Hope St # 955,forestry_service,0.091,https://www.google.com/search?q=Farming+With+Nature+211+Hope+St+%23+955+Mountain+View,1
Subway,701 W Evelyn Ave,sandwich_shop,0.087,https://www.google.com/search?q=Subway+701+W+Evelyn+Ave+Mountain+View,1
Amici's East Coast Pizzeria,790 Castro St,pizza_restaurant,0.086,https://www.google.com/search?q=Amici%27s+East+Coast+Pizzeria+790+Castro+St+Mountain+View,0
Pharmacy | Kaiser Permanente Mountain View Medical Offices,555 Castro St,pharmacy,0.082,https://www.google.com/search?q=Pharmacy+%7C+Kaiser+Permanente+Mountain+View+Medical+Offices+555+Castro+St+Mountain+View,0
Omelette House @ Ava's,340 Castro St,restaurant,0.082,https://www.google.com/search?q=Omelette+House+%40+Ava%27s+340+Castro+St+Mountain+View,1
Golden Wok,895 Villa St,chinese_restaurant,0.081,https://www.google.com/search?q=Golden+Wok+895+Villa+St+Mountain+View,1
HoneyCreek,124 Castro St,chinese_restaurant,0.081,https://www.google.com/search?q=HoneyCreek+124+Castro+St+Mountain+View,1
Churchill Club at Fenwick & West,801 California St,venue_and_event_space,0.079,https://www.google.com/search?q=Churchill+Club+at+Fenwick+%26+West+801+California+St+Mountain+View,1
Asian Box,142 Castro St,vietnamese_restaurant,0.075,https://www.google.com/search?q=Asian+Box+142+Castro+St+Mountain+View,0
K Z Kitchen Cabinets & Stone,1015 W El Camino Real,retail,0.072,https://www.google.com/search?q=K+Z+Kitchen+Cabinets+%26+Stone+1015+W+El+Camino+Real+Mountain+View,0
Hair & Now,257 Castro St Ste 112,hair_salon,0.071,https://www.google.com/search?q=Hair+%26+Now+257+Castro+St+Ste+112+Mountain+View,1
Xanh Restaurant,110 Castro St,vietnamese_restaurant,0.064,https://www.google.com/search?q=Xanh+Restaurant+110+Castro+St+Mountain+View,1
The Grill Story,475 Castro St,korean_restaurant,0.064,https://www.google.com/search?q=The+Grill+Story+475+Castro+St+Mountain+View,1
Fiesta Del Mar Too,735 Villa St,mexican_restaurant,0.059,https://www.google.com/search?q=Fiesta+Del+Mar+Too+735+Villa+St+Mountain+View,1
Mediterranean Grill House,650 Castro St,mediterranean_restaurant,0.055,https://www.google.com/search?q=Mediterranean+Grill+House+650+Castro+St+Mountain+View,0
RRR Biryanis,856 W El Camino Real,indian_restaurant,0.053,https://www.google.com/search?q=RRR+Biryanis+856+W+El+Camino+Real+Mountain+View,0
Bay Biryanis,698 W Dana St,indian_restaurant,0.053,https://www.google.com/search?q=Bay+Biryanis+698+W+Dana+St+Mountain+View,1
Global Village Cafe,209 Castro St,restaurant,0.052,https://www.google.com/search?q=Global+Village+Cafe+209+Castro+St+Mountain+View,1
QBB,216 Castro St,american_restaurant,0.05,https://www.google.com/search?q=QBB+216+Castro+St+Mountain+View,1
Vida Tapas Y Cocteles,110 Castro St,tapas_bar,0.05,https://www.google.com/search?q=Vida+Tapas+Y+Cocteles+110+Castro+St+Mountain+View,1
Scratch,401 Castro St,american_restaurant,0.05,https://www.google.com/search?q=Scratch+401+Castro+St+Mountain+View,0
Krillion,607A W Dana St,corporate_office,0.05,https://www.google.com/search?q=Krillion+607A+W+Dana+St+Mountain+View,1
Baklava Mountain View,341 Castro St,mediterranean_restaurant,0.047,https://www.google.com/search?q=Baklava+Mountain+View+341+Castro+St+Mountain+View,1
Steins Beer Garden Mountain View,895 Villa St,beer_garden,0.047,https://www.google.com/search?q=Steins+Beer+Garden+Mountain+View+895+Villa+St+Mountain+View,0
Olympus Caffe & Bakery,135 Castro St,mediterranean_restaurant,0.047,https://www.google.com/search?q=Olympus+Caffe+%26+Bakery+135+Castro+St+Mountain+View,0
Hummus Mediterranean Kitchen,185 Castro St,mediterranean_restaurant,0.047,https://www.google.com/search?q=Hummus+Mediterranean+Kitchen+185+Castro+St+Mountain+View,0
Steins Beer Garden & Restaurant,895 Villa St,beer_garden,0.047,https://www.google.com/search?q=Steins+Beer+Garden+%26+Restaurant+895+Villa+St+Mountain+View,0
Stampli,701 W Evelyn Ave,business,0.047,https://www.google.com/search?q=Stampli+701+W+Evelyn+Ave+Mountain+View,0
Serene Spa,714 Villa St,spas,0.046,https://www.google.com/search?q=Serene+Spa+714+Villa+St+Mountain+View,1
TCBY,650 Castro St,ice_cream_shop,0.046,https://www.google.com/search?q=TCBY+650+Castro+St+Mountain+View,1
Quova,707 California St,venue_and_event_space,0.044,https://www.google.com/search?q=Quova+707+California+St+Mountain+View,0
Cascal,400 Castro St,latin_american_restaurant,0.044,https://www.google.com/search?q=Cascal+400+Castro+St+Mountain+View,0
Savvy Cellar Wine Bar,750 W Evelyn Ave,wine_bar,0.042,https://www.google.com/search?q=Savvy+Cellar+Wine+Bar+750+W+Evelyn+Ave+Mountain+View,0
Hair By Soria,888 Villa St Ste 100,hair_salon,0.041,https://www.google.com/search?q=Hair+By+Soria+888+Villa+St+Ste+100+Mountain+View,0
Ludwig’s Biergarten,383 Castro St,german_restaurant,0.04,https://www.google.com/search?q=Ludwig%E2%80%99s+Biergarten+383+Castro+St+Mountain+View,0
Sakoon,357 Castro St,indian_restaurant,0.038,https://www.google.com/search?q=Sakoon+357+Castro+St+Mountain+View,0
Iteration Software,650 Castro St Ste 250,it_service_and_computer_repair,0.037,https://www.google.com/search?q=Iteration+Software+650+Castro+St+Ste+250+Mountain+View,1
Mantra India Restaurant & Bar,288 Castro St,indian_restaurant,0.036,https://www.google.com/search?q=Mantra+India+Restaurant+%26+Bar+288+Castro+St+Mountain+View,0
Amarin Thai Cuisine,174 Castro St,thai_restaurant,0.036,https://www.google.com/search?q=Amarin+Thai+Cuisine+174+Castro+St+Mountain+View,1
The Posh Bagel,444 Castro St,bagel_shop,0.034,https://www.google.com/search?q=The+Posh+Bagel+444+Castro+St+Mountain+View,1
Villa Rouge,282 Castro St,furniture_store,0.034,https://www.google.com/search?q=Villa+Rouge+282+Castro+St+Mountain+View,1
Verde Tea Cafe,852 Villa St,tea_room,0.033,https://www.google.com/search?q=Verde+Tea+Cafe+852+Villa+St+Mountain+View,1
Seasons Noodles & Dumplings Garden,702 Villa St,restaurant,0.033,https://www.google.com/search?q=Seasons+Noodles+%26+Dumplings+Garden+702+Villa+St+Mountain+View,0
Doppio Zero Mountain View,160 Castro St,italian_restaurant,0.033,https://www.google.com/search?q=Doppio+Zero+Mountain+View+160+Castro+St+Mountain+View,1
Chennai Kings,856 W El Camino Real,pan_asian_restaurant,0.031,https://www.google.com/search?q=Chennai+Kings+856+W+El+Camino+Real+Mountain+View,1
Integrative Bioinformatics,346 Paul Ave,professional_services,0.03,https://www.google.com/search?q=Integrative+Bioinformatics+346+Paul+Ave+Mountain+View,0
New Mongolian BBQ,304 Castro St,barbecue_restaurant,0.03,https://www.google.com/search?q=New+Mongolian+BBQ+304+Castro+St+Mountain+View,0
Ephesus,185 Castro St,mediterranean_restaurant,0.03,https://www.google.com/search?q=Ephesus+185+Castro+St+Mountain+View,1
Aesthetic Skin Care Center,854 Villa St,day_spa,0.03,https://www.google.com/search?q=Aesthetic+Skin+Care+Center+854+Villa+St+Mountain+View,1
Luxuray Skincare,692 W Dana St Ste A,day_spa,0.03,https://www.google.com/search?q=Luxuray+Skincare+692+W+Dana+St+Ste+A+Mountain+View,1
Americas Best Value Inn Mountain View,1012 W El Camino Real,resort,0.03,https://www.google.com/search?q=Americas+Best+Value+Inn+Mountain+View+1012+W+El+Camino+Real+Mountain+View,1
A & J Couture,257 Castro St Ste 100,t_shirt_store,0.026,https://www.google.com/search?q=A+%26+J+Couture+257+Castro+St+Ste+100+Mountain+View,1
Movement Chiropractic & Wellness,694 W Dana St,chiropractor,0.025,https://www.google.com/search?q=Movement+Chiropractic+%26+Wellness+694+W+Dana+St+Mountain+View,0
1 Oz Coffee,650 Castro St,coffee_shop,0.023,https://www.google.com/search?q=1+Oz+Coffee+650+Castro+St+Mountain+View,0
Somewhere Out West,455 Castro St,clothing_store,0.023,https://www.google.com/search?q=Somewhere+Out+West+455+Castro+St+Mountain+View,0
Red Rock Coffee,201 Castro St,coffee_shop,0.023,https://www.google.com/search?q=Red+Rock+Coffee+201+Castro+St+Mountain+View,0
Vaso Azzurro Ristorante,108 Castro St,italian_restaurant,0.022,https://www.google.com/search?q=Vaso+Azzurro+Ristorante+108+Castro+St+Mountain+View,0
Farmers Insurance - Robert Chang,257 Castro St Ste 105,auto_insurance,0.022,https://www.google.com/search?q=Farmers+Insurance+-+Robert+Chang+257+Castro+St+Ste+105+Mountain+View,0
Monte Carlo Restaurant and Bar,228 Castro St,dance_club,0.022,https://www.google.com/search?q=Monte+Carlo+Restaurant+and+Bar+228+Castro+St+Mountain+View,0
Rishitree Marketing,211 Hope St,marketing_agency,0.022,https://www.google.com/search?q=Rishitree+Marketing+211+Hope+St+Mountain+View,1
SF City Limo,211 Hope St # 390579,wine_tours,0.022,https://www.google.com/search?q=SF+City+Limo+211+Hope+St+%23+390579+Mountain+View,1
