label_audit
name,address,city,category,fsq_label,google_url,Correctness
Riverdale Garden,4576 Manhattan College Pkwy,NYC,american_restaurant,closed,https://www.google.com/search?q=Riverdale+Garden+4576+Manhattan+College+Pkwy,1
Piccola Venezia,4201 28th Ave,NYC,italian_restaurant,closed,https://www.google.com/search?q=Piccola+Venezia+4201+28th+Ave,1
ROKI Le Izakaya,12 W 21st St,NYC,japanese_restaurant,closed,https://www.google.com/search?q=ROKI+Le+Izakaya+12+W+21st+St,1
The Pembrook Group,485 Madison Ave Fl 22,NYC,retail,closed,https://www.google.com/search?q=The+Pembrook+Group+485+Madison+Ave+Fl+22,0
Europan Cafe,370 W 58th St,NYC,bakery,closed,https://www.google.com/search?q=Europan+Cafe+370+W+58th+St,1
Ruben Stepanian Debt Collector and Janitorial Services,6700 192nd St,NYC,business,closed,https://www.google.com/search?q=Ruben+Stepanian+Debt+Collector+and+Janitorial+Services+6700+192nd+St,1
Sorrento Catering,50 Fremont St Ste 63,SF,caterer,closed,https://www.google.com/search?q=Sorrento+Catering+50+Fremont+St+Ste+63,0
Growth & Learning Opportunities,625 Douglass St,SF,education,closed,https://www.google.com/search?q=Growth+%26+Learning+Opportunities+625+Douglass+St,1
Gold's Gym,250 W 54th St,NYC,gym,closed,https://www.google.com/search?q=Gold%27s+Gym+250+W+54th+St,1
"Park Home Furnishings, Inc.",11-12 44th. Dr.,NYC,furniture_store,closed,https://www.google.com/search?q=Park+Home+Furnishings%2C+Inc.+11-12+44th.+Dr.,1
Aerospace NYC,121 W 27th St,NYC,public_health_clinic,closed,https://www.google.com/search?q=Aerospace+NYC+121+W+27th+St,1
U-Lee,1468 Hyde St,SF,chinese_restaurant,closed,https://www.google.com/search?q=U-Lee+1468+Hyde+St,1
"Liebowitz Law Firm, PLLC",11 Sunrise Plaza Suite 305,NYC,legal_services,closed,https://www.google.com/search?q=Liebowitz+Law+Firm%2C+PLLC+11+Sunrise+Plaza+Suite+305,0
Barchetta,461 W 23rd St,NYC,italian_restaurant,closed,https://www.google.com/search?q=Barchetta+461+W+23rd+St,1
Pomander Books,321 W 94th St Apt 2W,NYC,bookstore,closed,https://www.google.com/search?q=Pomander+Books+321+W+94th+St+Apt+2W,1
Cold Stone Creamery,3 W Palisade Ave,NYC,ice_cream_shop,closed,https://www.google.com/search?q=Cold+Stone+Creamery+3+W+Palisade+Ave,1
"Steinway Plumbing, Heating and Cooling",3002 Steinway St,NYC,building_supply_store,closed,https://www.google.com/search?q=Steinway+Plumbing%2C+Heating+and+Cooling+3002+Steinway+St,0
Vanilla Sky,33-18 Broadway,NYC,desserts,closed,https://www.google.com/search?q=Vanilla+Sky+33-18+Broadway,1
Finn Town,2251 Market St,SF,restaurant,closed,https://www.google.com/search?q=Finn+Town+2251+Market+St,1
The Hanky Panky Club,125a East 11th St,NYC,dance_club,closed,https://www.google.com/search?q=The+Hanky+Panky+Club+125a+East+11th+St,1
Gascogne,158 8th Ave,NYC,french_restaurant,closed,https://www.google.com/search?q=Gascogne+158+8th+Ave,1
"Shella Saint Fleur-Lominy, MD, PhD",240 E 38th St Fl 19,NYC,doctor,closed,https://www.google.com/search?q=Shella+Saint+Fleur-Lominy%2C+MD%2C+PhD+240+E+38th+St+Fl+19,1
Wireless Solutions NY,228A Columbus Ave,NYC,electronics,closed,https://www.google.com/search?q=Wireless+Solutions+NY+228A+Columbus+Ave,1
Ducale Restaurants,1253 150th St,NYC,restaurant,closed,https://www.google.com/search?q=Ducale+Restaurants+1253+150th+St,1
Cafe Beyond,620 Avenue of the Americas,NYC,coffee_shop,closed,https://www.google.com/search?q=Cafe+Beyond+620+Avenue+of+the+Americas,1
Saints and Sinners,59-21 Roosevelt Ave,NYC,pub,closed,https://www.google.com/search?q=Saints+and+Sinners+59-21+Roosevelt+Ave,1
Bancarella,350 Powell St,SF,coffee_shop,closed,https://www.google.com/search?q=Bancarella+350+Powell+St,1
Victor's Bakery,719 Taraval St,SF,bakery,closed,https://www.google.com/search?q=Victor%27s+Bakery+719+Taraval+St,1
Bar Carrera,175 2nd Ave,NYC,wine_bar,closed,https://www.google.com/search?q=Bar+Carrera+175+2nd+Ave,1
HECHO,2200 Market St,SF,mexican_restaurant,closed,https://www.google.com/search?q=HECHO+2200+Market+St,1
Humberto's Rice And Beans,1318 Saint Nicholas Ave,NYC,restaurant,closed,https://www.google.com/search?q=Humberto%27s+Rice+And+Beans+1318+Saint+Nicholas+Ave,1
New York City Police Department,151 W 100th St,NYC,police_department,closed,https://www.google.com/search?q=New+York+City+Police+Department+151+W+100th+St,1
Nocciola Pizzeria e Trattoria,123 E 110th St,NYC,pizza_restaurant,closed,https://www.google.com/search?q=Nocciola+Pizzeria+e+Trattoria+123+E+110th+St,1
New York Sports Club,15 Barstow Rd,NYC,gym,closed,https://www.google.com/search?q=New+York+Sports+Club+15+Barstow+Rd,1
Takesushi,1035 Broadway,NYC,sushi_restaurant,closed,https://www.google.com/search?q=Takesushi+1035+Broadway,1
Sambuca,20 W 72nd St,NYC,italian_restaurant,closed,https://www.google.com/search?q=Sambuca+20+W+72nd+St,1
Gaiety Prodctns,201 W 46th St,NYC,cinema,closed,https://www.google.com/search?q=Gaiety+Prodctns+201+W+46th+St,1
