unlabeled_for_review
predictions,,,,,
predictions,,,,,
name,address,category,P_closed,google_url,actually_closed
Lada Cafe,518 Anderson Ave,russian_restaurant,0.994,https://www.google.com/search?q=Lada%20Cafe%20518%20Anderson%20Ave%20Cliffside%20Park,1
Checkers,2210 Westchester Ave,burger_restaurant,0.951,https://www.google.com/search?q=Checkers%202210%20Westchester%20Ave%20Bronx,1
Ikura Sushi,222 1st Ave,japanese_restaurant,0.93,https://www.google.com/search?q=Ikura%20Sushi%20222%201st%20Ave%20New%20York,1
Cosentino,101 Henry Adams Street #130,building_supply_store,0.929,https://www.google.com/search?q=Cosentino%20101%20Henry%20Adams%20Street%20%23130%20San%20Francisco,0
Casa Toscana,152 W 52nd St,sandwich_shop,0.926,https://www.google.com/search?q=Casa%20Toscana%20152%20W%2052nd%20St%20New%20York,1
Memoria,1004 2nd Ave,italian_restaurant,0.911,https://www.google.com/search?q=Memoria%201004%202nd%20Ave%20New%20York,1
Jimmy's City Island,500 City Island Ave,italian_restaurant,0.911,https://www.google.com/search?q=Jimmy%27s%20City%20Island%20500%20City%20Island%20Ave%20Bronx,0
La Reggia Bistro,Park Avenue,italian_restaurant,0.911,https://www.google.com/search?q=La%20Reggia%20Bistro%20Park%20Avenue%20Rutherford,1
East & West,570 10th Ave,restaurant,0.906,https://www.google.com/search?q=East%20%26%20West%20570%2010th%20Ave%20New%20York,1
Bandit,120 Park Ave,coffee_shop,0.905,https://www.google.com/search?q=Bandit%20120%20Park%20Ave%20New%20York,1
Ko Sushi,208 3rd Ave,sushi_restaurant,0.896,https://www.google.com/search?q=Ko%20Sushi%20208%203rd%20Ave%20New%20York,1
Garden Spot Cafe,195 Franklin St,american_restaurant,0.889,https://www.google.com/search?q=Garden%20Spot%20Cafe%20195%20Franklin%20St%20Brooklyn,1
LuLu Restaurant,485 E 180th St,american_restaurant,0.889,https://www.google.com/search?q=LuLu%20Restaurant%20485%20E%20180th%20St%20Bronx,1
Solace Restaurant,406 E 64th St,american_restaurant,0.889,https://www.google.com/search?q=Solace%20Restaurant%20406%20E%2064th%20St%20New%20York,1
TSQ Brasserie,723 7th Ave,american_restaurant,0.889,https://www.google.com/search?q=TSQ%20Brasserie%20723%207th%20Ave%20New%20York,1
Acri Cafe,1315 Commerce Ave,american_restaurant,0.889,https://www.google.com/search?q=Acri%20Cafe%201315%20Commerce%20Ave%20Bronx,1
Dalup,350 7th Ave,indian_restaurant,0.878,https://www.google.com/search?q=Dalup%20350%207th%20Ave%20New%20York,1
Simply Peeled,1371 3rd Ave,frozen_yoghurt_shop,0.878,https://www.google.com/search?q=Simply%20Peeled%201371%203rd%20Ave%20New%20York,1
Red Garlic,916 8th Ave Frnt,thai_restaurant,0.877,https://www.google.com/search?q=Red%20Garlic%20916%208th%20Ave%20Frnt%20New%20York,1
Mi Nuevo Rancho,4320 Greenpoint Ave,mexican_restaurant,0.843,https://www.google.com/search?q=Mi%20Nuevo%20Rancho%204320%20Greenpoint%20Ave%20Sunnyside,1
Sushi Rose,248 E 52nd St Fl 2,sushi_restaurant,0.838,https://www.google.com/search?q=Sushi%20Rose%20248%20E%2052nd%20St%20Fl%202%20New%20York,1
Limone's Farm,892 Palisade Ave,sandwich_shop,0.83,https://www.google.com/search?q=Limone%27s%20Farm%20892%20Palisade%20Ave%20Teaneck,0
Ten Ten,413 2nd Ave,asian_restaurant,0.825,https://www.google.com/search?q=Ten%20Ten%20413%202nd%20Ave%20New%20York,1
Slate Bar,2925 16th St,dance_club,0.812,https://www.google.com/search?q=Slate%20Bar%202925%2016th%20St%20San%20Francisco,1
alibabam,963 main st,mediterranean_restaurant,0.808,https://www.google.com/search?q=alibabam%20963%20main%20st%20Paterson,1
Philz Coffee,425 Mission St Ste 100 Ste 100,coffee_shop,0.803,https://www.google.com/search?q=Philz%20Coffee%20425%20Mission%20St%20Ste%20100%20Ste%20100%20San%20Francisco,0
Madison Bistro,238 Madison Ave,french_restaurant,0.796,https://www.google.com/search?q=Madison%20Bistro%20238%20Madison%20Ave%20New%20York,1
La Fandi,25-39 Steinway St,hookah_bar,0.776,https://www.google.com/search?q=La%20Fandi%2025-39%20Steinway%20St%20Astoria,1
Tranny Strip,59 W 21st St,cocktail_bar,0.776,https://www.google.com/search?q=Tranny%20Strip%2059%20W%2021st%20St%20New%20York,1
La Fortaleza,962 Main Ave.,mexican_restaurant,0.772,https://www.google.com/search?q=La%20Fortaleza%20962%20Main%20Ave.%20Passaic,1
Redbox,3998 18th St,rental_kiosks,0.77,https://www.google.com/search?q=Redbox%203998%2018th%20St%20San%20Francisco,1
Leonidas Belgian Chocolates,485 Madison Ave,candy_store,0.767,https://www.google.com/search?q=Leonidas%20Belgian%20Chocolates%20485%20Madison%20Ave%20New%20York,1
Metro by T-Mobile,653 Anderson Ave,mobile_phone_store,0.761,https://www.google.com/search?q=Metro%20by%20T-Mobile%20653%20Anderson%20Ave%20Cliffside%20Park,1
Venisalvi,302 W 38th St,mediterranean_restaurant,0.753,https://www.google.com/search?q=Venisalvi%20302%20W%2038th%20St%20New%20York,1
Village Pizzeria,1 Clement St,pizza_restaurant,0.753,https://www.google.com/search?q=Village%20Pizzeria%201%20Clement%20St%20San%20Francisco,1
Tamu Lola,40 E 20th St,mediterranean_restaurant,0.753,https://www.google.com/search?q=Tamu%20Lola%2040%20E%2020th%20St%20New%20York,1
Avalon New York,208 W 23rd St,desserts,0.751,https://www.google.com/search?q=Avalon%20New%20York%20208%20W%2023rd%20St%20New%20York,1
Starbucks,Terminal 1,coffee_shop,0.746,https://www.google.com/search?q=Starbucks%20Terminal%201%20Jamaica,0
Starbucks,1000 S Eighth Ave,coffee_shop,0.746,https://www.google.com/search?q=Starbucks%201000%20S%20Eighth%20Ave%20New%20York,0
Kingdom,170 N 4th St,bar,0.745,https://www.google.com/search?q=Kingdom%20170%20N%204th%20St%20Brooklyn,1
Cafe Fuego,9 Saint Marks Pl,bar,0.745,https://www.google.com/search?q=Cafe%20Fuego%209%20Saint%20Marks%20Pl%20New%20York,1
Hon Tei,412 Bergen Blvd,japanese_restaurant,0.744,https://www.google.com/search?q=Hon%20Tei%20412%20Bergen%20Blvd%20Palisades%20Park,1
White Castle,530 Southern Blvd,fast_food_restaurant,0.744,https://www.google.com/search?q=White%20Castle%20530%20Southern%20Blvd%20Bronx,1
B.H. Yummy Sushi Falafel,736 W 181st St,sushi_restaurant,0.744,https://www.google.com/search?q=B.H.%20Yummy%20Sushi%20Falafel%20736%20W%20181st%20St%20New%20York,1
Arita Ichiban,43-7 Main St,japanese_restaurant,0.744,https://www.google.com/search?q=Arita%20Ichiban%2043-7%20Main%20St%20Queens,1
Sakanaya,304 E 49th St.,sushi_restaurant,0.744,https://www.google.com/search?q=Sakanaya%20304%20E%2049th%20St.%20New%20York,1
Alex's Spot,90-18 Corona Ave,latin_american_restaurant,0.738,https://www.google.com/search?q=Alex%27s%20Spot%2090-18%20Corona%20Ave%20Elmhurst,1
Wipeout Bar & Grill,Pier 39,bar,0.705,https://www.google.com/search?q=Wipeout%20Bar%20%26%20Grill%20Pier%2039%20San%20Francisco,0
Annie's Hot Dogs,198 John F. Kennedy Dr.,hot_dog_restaurant,0.703,https://www.google.com/search?q=Annie%27s%20Hot%20Dogs%20198%20John%20F.%20Kennedy%20Dr.%20San%20Francisco,0
RouRou Cafe,70 Greenwich Ave,cafe,0.703,https://www.google.com/search?q=RouRou%20Cafe%2070%20Greenwich%20Ave%20New%20York,0
Koodoos,1457 3rd Ave,restaurant,0.599,https://www.google.com/search?q=Koodoos%201457%203rd%20Ave%20New%20York,0
LIC Flea & Food,5 W 46th St,restaurant,0.599,https://www.google.com/search?q=LIC%20Flea%20%26%20Food%205%20W%2046th%20St%20New%20York,1
Matthew's,1030 3rd Ave,restaurant,0.599,https://www.google.com/search?q=Matthew%27s%201030%203rd%20Ave%20New%20York,1
Miya's Place,850 Holloway Ave,restaurant,0.599,https://www.google.com/search?q=Miya%27s%20Place%20850%20Holloway%20Ave%20San%20Francisco,1
Jimmy's Uptown,2207 Adam Clayton Powell Jr Blvd,restaurant,0.599,https://www.google.com/search?q=Jimmy%27s%20Uptown%202207%20Adam%20Clayton%20Powell%20Jr%20Blvd%20New%20York,1
Anabel,809 9th Ave,restaurant,0.599,https://www.google.com/search?q=Anabel%20809%209th%20Ave%20New%20York,1
Rico's Restaurant,110 E 23rd St,restaurant,0.599,https://www.google.com/search?q=Rico%27s%20Restaurant%20110%20E%2023rd%20St%20New%20York,1
Zoe Townhouse,135 E 62nd St,restaurant,0.599,https://www.google.com/search?q=Zoe%20Townhouse%20135%20E%2062nd%20St%20New%20York,1
Terra Cafe,7 Henshaw St,restaurant,0.599,https://www.google.com/search?q=Terra%20Cafe%207%20Henshaw%20St%20New%20York,1
Davidburke and Donatella,133 E 61st St,restaurant,0.599,https://www.google.com/search?q=Davidburke%20and%20Donatella%20133%20E%2061st%20St%20New%20York,1
District,130 W 46th St,restaurant,0.599,https://www.google.com/search?q=District%20130%20W%2046th%20St%20New%20York,0
Catering,224 W 29th St,restaurant,0.599,https://www.google.com/search?q=Catering%20224%20W%2029th%20St%20New%20York,0
Rocky's Grill,2828 College Point Blvd,restaurant,0.599,https://www.google.com/search?q=Rocky%27s%20Grill%202828%20College%20Point%20Blvd%20Flushing,1
Don Bugito,2948 Folsom St,restaurant,0.599,https://www.google.com/search?q=Don%20Bugito%202948%20Folsom%20St%20San%20Francisco,1
Soup Man,80 W End Ave,restaurant,0.599,https://www.google.com/search?q=Soup%20Man%2080%20W%20End%20Ave%20New%20York,1
Empanology,2407 3rd Ave,restaurant,0.599,https://www.google.com/search?q=Empanology%202407%203rd%20Ave%20Bronx,1
Grind Meatballs,146 E 44th St,restaurant,0.599,https://www.google.com/search?q=Grind%20Meatballs%20146%20E%2044th%20St%20New%20York,1
JFK Jerk Center,141-21 Rockaway Blvd,caribbean_restaurant,0.599,https://www.google.com/search?q=JFK%20Jerk%20Center%20141-21%20Rockaway%20Blvd%20Queens,0
Roast,143 Tulip Ave,coffee_shop,0.596,https://www.google.com/search?q=Roast%20143%20Tulip%20Ave%20Floral%20Park,1
New Ya MEI,3891 Sedgwick Ave,chinese_restaurant,0.596,https://www.google.com/search?q=New%20Ya%20MEI%203891%20Sedgwick%20Ave%20Bronx,0
Shanghai Tang,77 W Houston St,chinese_restaurant,0.596,https://www.google.com/search?q=Shanghai%20Tang%2077%20W%20Houston%20St%20New%20York,1
Sage Chinese Restaurant,406 Hayes St,chinese_restaurant,0.596,https://www.google.com/search?q=Sage%20Chinese%20Restaurant%20406%20Hayes%20St%20San%20Francisco,1
Bos Noodle Shop,930 8th Ave,chinese_restaurant,0.596,https://www.google.com/search?q=Bos%20Noodle%20Shop%20930%208th%20Ave%20New%20York,1
Manchu Wok,Terminal 1,chinese_restaurant,0.596,https://www.google.com/search?q=Manchu%20Wok%20Terminal%201%20Jamaica,0
Mission Fashion,1431 Saint Nicholas Ave,clothing_store,0.596,https://www.google.com/search?q=Mission%20Fashion%201431%20Saint%20Nicholas%20Ave%20New%20York,1
Sin Hing,1171 Jerome Ave,restaurant,0.593,https://www.google.com/search?q=Sin%20Hing%201171%20Jerome%20Ave%20Bronx,1
Original Marios,17716 Liberty Ave,restaurant,0.593,https://www.google.com/search?q=Original%20Marios%2017716%20Liberty%20Ave%20Jamaica,1
Bridge Plaza Cafe,141 E 149th St,coffee_shop,0.592,https://www.google.com/search?q=Bridge%20Plaza%20Cafe%20141%20E%20149th%20St%20Bronx,1
Hudson News,Terminal 1,bookstore,0.589,https://www.google.com/search?q=Hudson%20News%20Terminal%201%20Jamaica,0
K Food Pizza,18 E 33rd St,pizza_restaurant,0.579,https://www.google.com/search?q=K%20Food%20Pizza%2018%20E%2033rd%20St%20New%20York,1
Falafelland,133 6th St,falafel_restaurant,0.578,https://www.google.com/search?q=Falafelland%20133%206th%20St%20San%20Francisco,1
Folly New York,157 E 71st St,discount_store,0.574,https://www.google.com/search?q=Folly%20New%20York%20157%20E%2071st%20St%20New%20York,1
Subway,425 Bush St,sandwich_shop,0.569,https://www.google.com/search?q=Subway%20425%20Bush%20St%20San%20Francisco,0
Specialty's Cafe & Bakery,101 New Montgomery St,cafe,0.568,https://www.google.com/search?q=Specialty%27s%20Cafe%20%26%20Bakery%20101%20New%20Montgomery%20St%20San%20Francisco,1
citysticks,97-01 Shore Front Parkway,ice_cream_shop,0.558,https://www.google.com/search?q=citysticks%2097-01%20Shore%20Front%20Parkway%20Rockaway%20Beach,1
Redbox,625 Monterey Blvd,rental_kiosks,0.554,https://www.google.com/search?q=Redbox%20625%20Monterey%20Blvd%20San%20Francisco,1
Redbox,735 7th Ave,rental_kiosks,0.554,https://www.google.com/search?q=Redbox%20735%207th%20Ave%20San%20Francisco,1
Bronx New Way Corporation,111 E Kingsbridge Rd # 3,discount_store,0.528,https://www.google.com/search?q=Bronx%20New%20Way%20Corporation%20111%20E%20Kingsbridge%20Rd%20%23%203%20Bronx,0
Suzuki,114 W 47th St,sushi_restaurant,0.525,https://www.google.com/search?q=Suzuki%20114%20W%2047th%20St%20New%20York,1
Caudalie,315 Bleecker St,cosmetic_and_beauty_supplies,0.524,https://www.google.com/search?q=Caudalie%20315%20Bleecker%20St%20New%20York,1
Redbox,4645 Mission St,clothing_rental,0.519,https://www.google.com/search?q=Redbox%204645%20Mission%20St%20San%20Francisco,1
Redbox,15 Marina Blvd,clothing_rental,0.519,https://www.google.com/search?q=Redbox%2015%20Marina%20Blvd%20San%20Francisco,1
Food Barn,1 Hunts Point Term Mkt Ste 31,grocery_store,0.509,https://www.google.com/search?q=Food%20Barn%201%20Hunts%20Point%20Term%20Mkt%20Ste%2031%20Bronx,0
Irving Place Theatre,118 E 15th St,cinema,0.495,https://www.google.com/search?q=Irving%20Place%20Theatre%20118%20E%2015th%20St%20New%20York,0
Keds NY Showroom,152 W 57th St,shoe_store,0.495,https://www.google.com/search?q=Keds%20NY%20Showroom%20152%20W%2057th%20St%20New%20York,1
